Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-02-18;1.163,93;1.166,58;1.162,17;1.165,7;;
2019-02-15;1.160,3;1.167,41;1.160,3;1.167,41;;
2019-02-14;1.156,82;1.161,25;1.153,27;1.159,48;;
2019-02-13;1.157,45;1.160,99;1.153,03;1.155,68;;
2019-02-12;1.156,6;1.159,26;1.154,83;1.157,49;;
2019-02-11;1.155,28;1.155,28;1.148,2;1.151,74;;
2019-02-08;1.148,86;1.154,59;1.148,86;1.154,59;;
2019-02-07;1.149,85;1.150,73;1.145,44;1.150,73;;
2019-02-06;1.148,41;1.150,17;1.144,9;1.144,9;;
2019-02-05;1.145,5;1.148,12;1.143,74;1.146,37;;
2019-02-04;1.142,42;1.144,17;1.140,67;1.144,17;;
2019-02-01;1.145,06;1.149,42;1.143,32;1.144,63;;
2019-01-31;1.145,11;1.149,46;1.145,11;1.145,98;;
2019-01-30;1.144,90;1.146,65;1.142,27;1.142,27;;
2019-01-29;1.138,59;1.142,97;1.138,59;1.142,09;;
2019-01-28;1.136,36;1.137,24;1.133,74;1.136,36;;
2019-01-25;1.126,83;1.140,93;1.126,83;1.139,17;;
2019-01-24;1.124,68;1.127,33;1.122,92;1.124,68;;
2019-01-23;1.124,75;1.126,51;1.121,23;1.123,87;;
2019-01-22;1.121,63;1.127,8;1.121,63;1.127,8;;
2019-01-21;1.125,24;1.125,24;1.119,52;1.122,6;;
2019-01-18;1.128,31;1.128,31;1.119,54;1.119,54;;
2019-01-17;1.129,78;1.131,54;1.127,15;1.128,9;;
2019-01-16;1.129,6;1.132,23;1.127,84;1.131,36;;
2019-01-15;1.125,26;1.128,76;1.122,64;1.122,64;;
2019-01-14;1.121,92;1.124,53;1.119,3;1.121,92;;
2019-01-11;1.116,36;1.118,1;1.112,03;1.112,03;;
2019-01-10;1.118,77;1.119,64;1.111,83;1.111,83;;
2019-01-09;1.116,11;1.122,22;1.113,49;1.122,22;;
2019-01-08;1.117,57;1.119,32;1.114,95;1.119,32;;
2019-01-07;1.122,32;1.126,69;1.120,58;1.120,58;;
2019-01-04;1.130,84;1.130,84;1.117,69;1.122,51;;
2019-01-03;1.134,56;1.134,56;1.130,16;1.132,8;;
2019-01-02;1.124,42;1.125,3;1.120,03;1.120,03;;
2018-12-28;1.113,59;1.113,59;1.110,09;1.111,84;;
2018-12-27;1.111,45;1.118,48;1.109,70;1.118,48;;
2018-12-21;1.099,09;1.100,84;1.095,15;1.095,15;;
2018-12-20;1.084,19;1.099,03;1.084,19;1.099,03;;
2018-12-19;1.092,07;1.098,2;1.089,43;1.092,07;;
2018-12-18;1.090,36;1.093,87;1.090,36;1.093,87;;
2018-12-17;1.086,77;1.095,58;1.086,77;1.095,58;;
2018-12-14;1.094,82;1.094,82;1.089,5;1.092,16;;
2018-12-13;1.090,93;1.091,81;1.087,42;1.088,3;;
2018-12-12;1.091,57;1.094,22;1.091,57;1.092,46;;
2018-12-11;1.091,05;1.092,8;1.087,53;1.087,53;;
2018-12-10;1.088,4;1.088,4;1.084,9;1.084,9;;
2018-12-07;1.085,66;1.093,13;1.085,66;1.093,13;;
2018-12-06;1.084,93;1.091,09;1.084,05;1.087,57;;
2018-12-05;1.083,76;1.086,4;1.082,88;1.084,64;;
2018-12-04;1.080,29;1.083,79;1.080,29;1.082,92;;
2018-12-03;1.078,8;1.084,98;1.078,8;1.084,1;;
2018-11-30;1.072,72;1.073,6;1.067,44;1.070,52;;
2018-11-29;1.071,84;1.072,71;1.070,08;1.070,08;;
2018-11-28;1.071,87;1.079,85;1.070,1;1.078,96;;
2018-11-27;1.073,01;1.076,54;1.066,83;1.066,83;;
2018-11-26;1.074,98;1.074,98;1.071,46;1.071,46;;
2018-11-23;1.076,02;1.076,02;1.071,62;1.072,94;;
2018-11-22;1.072,09;1.072,96;1.071,21;1.072,09;;
2018-11-21;1.067,14;1.074,15;1.067,14;1.070,65;;
2018-11-20;1.066,89;1.070,4;1.066,02;1.066,89;;
2018-11-19;1.062,83;1.066,33;1.061,96;1.066,33;;
2018-11-16;1.066,9;1.074,83;1.066,9;1.072,63;;
2018-11-15;1.069;1.070,77;1.064,57;1.069;;
2018-11-14;1.060,99;1.070,73;1.056,57;1.070,73;;
2018-11-13;1.064,29;1.064,29;1.058,96;1.062,52;;
2018-11-12;1.067,47;1.067,47;1.063,92;1.063,92;;
2018-11-09;1.070,42;1.072,18;1.059,85;1.059,85;;
2018-11-08;1.067,49;1.068,37;1.065,74;1.067,49;;
2018-11-07;1.065,12;1.070,34;1.063,38;1.063,38;;
2018-11-06;1.072,37;1.076,74;1.067,99;1.067,99;;
2018-11-05;1.078,72;1.080,47;1.076,08;1.077,84;;
2018-11-02;1.076,03;1.077,78;1.074,28;1.075,59;;
2018-11-01;1.067,76;1.078,29;1.067,76;1.078,29;;
2018-10-31;1.071,3;1.071,3;1.066,89;1.067,77;;
2018-10-30;1.075,01;1.075,01;1.068,85;1.071,49;;
2018-10-29;1.077,67;1.077,67;1.073,28;1.074,16;;
2018-10-26;1.081,97;1.089,91;1.081,97;1.082,86;;
2018-10-25;1.079,63;1.081,38;1.071,74;1.071,74;;
2018-10-24;1.078,67;1.078,67;1.072,53;1.074,28;;
2018-10-23;1.062,47;1.075,54;1.062,47;1.069,44;;
2018-10-22;1.062,73;1.063,6;1.057,51;1.058,38;;
2018-10-19;1.066,7;1.066,7;1.063,21;1.064,08;;
2018-10-18;1.058,24;1.063,45;1.055,63;1.063,45;;
2018-10-17;1.055,94;1.062,01;1.055,94;1.057,68;;
2018-10-16;1.053,34;1.058,95;1.053,34;1.056,79;;
2018-10-15;1.050,43;1.060,79;1.050,43;1.054,74;;
2018-10-12;1.049,34;1.051,93;1.046,74;1.049,77;;
2018-10-11;1.025,92;1.053,56;1.025,92;1.053,56;;
2018-10-10;1.030,87;1.030,87;1.027,39;1.030,87;;
2018-10-09;1.036,73;1.036,73;1.031,48;1.034,11;;
2018-10-08;1.038,07;1.038,07;1.028,05;1.028,05;;
2018-10-05;1.037,29;1.042,5;1.036,42;1.039,46;;
2018-10-04;1.037,65;1.044,6;1.037,65;1.038,52;;
2018-10-02;1.028,76;1.040,89;1.027,03;1.037,43;;
2018-10-01;1.019,73;1.022,32;1.018,01;1.019,3;;
2018-09-28;1.018,92;1.027,13;1.017,19;1.027,13;;
2018-09-27;1.016,91;1.018,62;1.006,66;1.007,52;;
2018-09-26;1.019,43;1.019,43;1.012,61;1.014,31;;
2018-09-25;1.014,27;1.016,81;1.014,27;1.015,11;;
2018-09-24;1.011,21;1.018,01;1.011,21;1.014,19;;
2018-09-21;1.024,32;1.025,17;1.009,87;1.013,69;;
2018-09-20;1.020,05;1.022,6;1.017,5;1.020,9;;
2018-09-19;1.027,26;1.028,11;1.026,4;1.026,4;;
2018-09-18;1.021,2;1.023,77;1.018,64;1.019,49;;
2018-09-17;1.020,91;1.027,76;1.020,05;1.025,19;;
2018-09-14;1.027,03;1.029,6;1.017,62;1.021,05;;
2018-09-13;1.032,27;1.039,16;1.030,55;1.030,55;;
2018-09-12;1.026,76;1.037,98;1.025,9;1.037,98;;
2018-09-11;1.028,6;1.029,46;1.022,55;1.029,46;;
2018-09-10;1.026,27;1.030,59;1.026,27;1.028;;
2018-09-07;1.029,27;1.030,13;1.024,54;1.024,54;;
2018-09-06;1.024,15;1.032,75;1.024,15;1.026,73;;
2018-09-05;1.026,16;1.029,62;1.026,16;1.028,75;;
2018-09-04;1.033,13;1.033,13;1.026,21;1.027,07;;
2018-09-03;1.029,8;1.032,39;1.028,94;1.029,8;;
2018-08-31;1.029,53;1.032,1;1.025,23;1.026,52;;
2018-08-30;1.024,2;1.027,63;1.019,93;1.021,64;;
2018-08-29;1.027,87;1.030,45;1.027,02;1.028,73;;
2018-08-28;1.028,61;1.032,02;1.025,62;1.025,62;;
2018-08-27;1.033,7;1.037,14;1.030,26;1.036,28;;
2018-08-24;1.021,32;1.038,57;1.021,32;1.037,28;;
2018-08-23;1.024,7;1.025,56;1.021,25;1.021,25;;
2018-08-22;1.024,88;1.030,05;1.023,16;1.025,74;;
2018-08-21;1.035,04;1.035,04;1.028,95;1.033,3;;
2018-08-20;1.034,59;1.036,34;1.033,71;1.035,46;;
2018-08-17;1.027,57;1.031,96;1.026,69;1.028,88;;
2018-08-16;1.032,1;1.034,74;1.028,58;1.029,46;;
2018-08-15;1.049,82;1.049,82;1.033,04;1.036,57;;
2018-08-14;1.043,75;1.045,5;1.041,12;1.041,12;;
2018-08-13;1.055,42;1.056,3;1.041,39;1.041,39;;
2018-08-10;1.050,54;1.057,52;1.049,67;1.054,03;;
2018-08-09;1.044,17;1.044,17;1.040,71;1.041,58;;
2018-08-08;1.042,8;1.044,53;1.038,48;1.041,07;;
2018-08-07;1.038,18;1.043,36;1.038,18;1.038,18;;
2018-08-06;1.046,96;1.046,96;1.041,76;1.043,49;;
2018-08-03;1.037,71;1.048,07;1.035,99;1.045,05;;
2018-08-02;1.045,45;1.045,45;1.038,56;1.038,56;;
2018-08-01;1.039,24;1.042,66;1.036,68;1.037,53;;
2018-07-31;1.036,55;1.041,67;1.034;1.039,11;;
2018-07-30;1.039,46;1.043,73;1.039,46;1.042,02;;
2018-07-27;1.049,03;1.050,75;1.044,73;1.049,46;;
2018-07-26;1.045,15;1.046,01;1.041,74;1.041,74;;
2018-07-25;1.044,91;1.050,9;1.044,91;1.049,19;;
2018-07-24;1.037,5;1.046,05;1.037,5;1.042,63;;
2018-07-23;1.046,86;1.046,86;1.039,18;1.041,74;;
2018-07-20;1.042,42;1.051,84;1.042,42;1.049,7;;
2018-07-19;1.050,66;1.054,97;1.042,89;1.054,97;;
2018-07-18;1.050,3;1.052,88;1.047,71;1.052,88;;
2018-07-17;1.055,35;1.058,77;1.045,96;1.045,96;;
2018-07-16;1.057,59;1.057,59;1.052,47;1.054,18;;
2018-07-13;1.065,45;1.065,45;1.059,44;1.061,15;;
2018-07-12;1.062,36;1.065,79;1.061,5;1.065,79;;
2018-07-11;1.061,36;1.063,91;1.055,39;1.055,39;;
2018-07-10;1.069,33;1.069,33;1.061,64;1.067,62;;
2018-07-09;1.064,98;1.068,37;1.062,86;1.062,86;;
2018-07-06;1.066,62;1.067,47;1.065,76;1.066,19;;
2018-07-05;1.067,13;1.070,54;1.064,57;1.068,84;;
2018-07-04;1.075,85;1.078,42;1.073,27;1.074,13;;
2018-07-03;1.058,29;1.072,01;1.058,29;1.070,3;;
2018-07-02;1.069,25;1.070,11;1.062,38;1.062,38;;
2018-06-29;1.069,22;1.071,8;1.067,51;1.070,51;;
2018-06-28;1.077,01;1.077,01;1.073,56;1.073,56;;
2018-06-27;1.076,53;1.079,12;1.074,81;1.075,67;;
2018-06-26;1.078,22;1.079,08;1.071,37;1.074,79;;
2018-06-25;1.077,35;1.080,77;1.077,35;1.078,2;;
2018-06-22;1.084,74;1.086,45;1.084,74;1.085,17;;
2018-06-21;1.091,61;1.095,08;1.089,88;1.095,08;;
2018-06-20;1.096,48;1.096,48;1.093,89;1.093,89;;
2018-06-19;1.107,6;1.107,6;1.097,19;1.101,53;;
2018-06-18;1.097,48;1.100,06;1.095,32;1.095,32;;
2018-06-15;1.117,2;1.117,2;1.096,5;1.097,36;;
2018-06-14;1.104,43;1.111,25;1.104,43;1.106,14;;
2018-06-13;1.096,99;1.099,54;1.095,29;1.098,69;;
2018-06-12;1.097,3;1.098,15;1.093,06;1.094,76;;
2018-06-11;1.097,12;1.098,81;1.094,57;1.098,81;;
2018-06-08;1.098,78;1.101,33;1.097,07;1.100,48;;
2018-06-07;1.092,01;1.096,23;1.092,01;1.092,85;;
2018-06-06;1.099,45;1.101,15;1.096,05;1.096,9;;
2018-06-05;1.101,93;1.107,92;1.101,07;1.107,92;;
2018-06-04;1.096,11;1.101,22;1.095,25;1.097,81;;
2018-06-01;1.109,35;1.109,35;1.104,21;1.105,49;;
2018-05-31;1.109,92;1.111,63;1.107,36;1.107,36;;
2018-05-30;1.112,88;1.116,32;1.110,3;1.114,6;;
2018-05-29;1.120;1.124,33;1.115,68;1.121,73;;
2018-05-28;1.109,54;1.112,59;1.109,16;1.110,01;;
2018-05-25;1.111,35;1.115,63;1.111,35;1.112,63;;
2018-05-24;1.099,51;1.109,74;1.099,51;1.108,03;;
2018-05-23;1.097,97;1.103,95;1.094,12;1.100,53;;
2018-05-22;1.089,96;1.094,2;1.089,11;1.091,66;;
2018-05-18;1.090,32;1.092,44;1.087,77;1.092,44;;
2018-05-17;1.090,64;1.090,64;1.085,56;1.089,79;;
2018-05-16;1.094,28;1.095,98;1.087,49;1.092,58;;
2018-05-15;1.099,47;1.099,47;1.081,8;1.081,8;;
2018-05-14;1.097,35;1.098,18;1.095,68;1.096,51;;
2018-05-11;1.101,47;1.106,5;1.101,47;1.102,31;;
2018-05-09;1.099;1.104,89;1.094,79;1.099,42;;
2018-05-08;1.101,52;1.104,04;1.096,46;1.102,36;;
2018-05-07;1.100,23;1.100,23;1.097,71;1.098,97;;
2018-05-04;1.091,57;1.094,08;1.089,06;1.093,66;;
2018-05-03;1.086,97;1.094,48;1.086,14;1.091,14;;
2018-05-02;1.086,45;1.088,12;1.082,29;1.082,29;;
2018-04-30;1.089,08;1.089,08;1.081,63;1.087,42;;
2018-04-27;1.087,41;1.091,55;1.086,58;1.091,14;;
2018-04-26;1.084,4;1.086,05;1.077,83;1.078,65;;
2018-04-25;1.084,53;1.084,53;1.079,61;1.081,25;;
2018-04-24;1.082,04;1.086,14;1.079,59;1.086,14;;
2018-04-23;1.085,55;1.086,37;1.077,38;1.077,38;;
2018-04-20;1.086,6;1.087,42;1.081,73;1.082,14;;
2018-04-19;1.087,47;1.089,89;1.081,01;1.082,62;;
2018-04-18;1.079,67;1.088,55;1.079,67;1.086,13;;
2018-04-17;1.085,62;1.087,24;1.079,15;1.085,62;;
2018-04-16;1.082,86;1.087,71;1.081,24;1.084,48;;
2018-04-13;1.082,65;1.089,15;1.081,03;1.085,9;;
2018-04-12;1.091,86;1.092,67;1.080,5;1.082,12;;
2018-04-11;1.079,21;1.097,79;1.079,21;1.090,52;;
2018-04-10;1.073,94;1.081,22;1.073,94;1.081,22;;
2018-04-09;1.078,11;1.082,17;1.074,85;1.082,17;;
2018-04-06;1.081;1.086,73;1.076,92;1.084,68;;
2018-04-05;1.080,34;1.081,16;1.075,45;1.077,08;;
2018-04-04;1.083,01;1.093,6;1.083,01;1.084,64;;
2018-04-03;1.084,25;1.085,07;1.077,75;1.078,57;;
2018-03-29;1.074,18;1.074,18;1.069,31;1.069,72;;
2018-03-28;1.079,61;1.079,61;1.066,7;1.066,7;;
2018-03-27;1.089,61;1.092,03;1.079,91;1.083,15;;
2018-03-26;1.079,29;1.088,15;1.079,29;1.087,34;;
2018-03-23;1.083,35;1.089,02;1.080,92;1.087,4;;
2018-03-22;1.076,24;1.078,68;1.072,99;1.072,99;;
2018-03-21;1.065,85;1.078,06;1.065,85;1.078,06;;
2018-03-20;1.068,35;1.068,35;1.061,01;1.064,27;;
2018-03-19;1.059,79;1.067,92;1.058,98;1.066,5;;
2018-03-16;1.066,99;1.069,43;1.060,48;1.063,33;;
2018-03-15;1.070,01;1.070,01;1.062,72;1.062,72;;
2018-03-14;1.068,4;1.069,2;1.065,16;1.067,59;;
2018-03-13;1.061,96;1.067,62;1.060,35;1.067,62;;
2018-03-12;1.070,96;1.070,96;1.065,27;1.070,96;;
2018-03-09;1.068,67;1.073,55;1.065,41;1.072,33;;
2018-03-08;1.065,53;1.065,53;1.058,29;1.059,09;;
2018-03-07;1.070,71;1.070,71;1.061,85;1.063,46;;
2018-03-06;1.061,56;1.072,84;1.060,75;1.070,42;;
2018-03-05;1.072,97;1.073,78;1.068,09;1.068,09;;
2018-03-02;1.066,03;1.071,72;1.065,22;1.069,69;;
2018-03-01;1.075,92;1.075,92;1.066,88;1.069,35;;
2018-02-28;1.075,4;1.077,04;1.074,59;1.076,22;;
2018-02-27;1.079,99;1.080,81;1.065,36;1.066,99;;
2018-02-26;1.083,2;1.084,01;1.075,49;1.075,89;;
2018-02-23;1.074,48;1.077,73;1.074,48;1.075,29;;
2018-02-22;1.073,23;1.079,75;1.072,42;1.079,75;;
2018-02-21;1.074,16;1.077,4;1.072,53;1.074,97;;
2018-02-20;1.081,44;1.083,87;1.073,34;1.073,34;;
2018-02-19;1.081,79;1.082,6;1.080,98;1.080,98;;
2018-02-16;1.085,13;1.087,53;1.079,11;1.079,11;;
2018-02-15;1.078,6;1.081,81;1.076,2;1.078,6;;
2018-02-14;1.075,88;1.092,08;1.068,59;1.090,46;;
2018-02-13;1.070,7;1.074,76;1.069,08;1.072,33;;
2018-02-12;1.076;1.076;1.070,29;1.075,19;;
2018-02-09;1.071,05;1.071,05;1.065,35;1.067,38;;
2018-02-08;1.066,36;1.073,7;1.064,72;1.072,07;;
2018-02-07;1.074,32;1.075,94;1.059,73;1.059,73;;
2018-02-06;1.085,65;1.085,65;1.071,86;1.071,86;;
2018-02-05;1.066,32;1.071,14;1.066,32;1.068,73;;
2018-02-02;1.073,89;1.075,49;1.059,48;1.063,08;;
2018-02-01;1.072,72;1.075,93;1.070,31;1.075,93;;
2018-01-31;1.074,5;1.075,3;1.072,09;1.072,09;;
2018-01-30;1.070,37;1.080,83;1.070,37;1.072,78;;
2018-01-29;1.085,31;1.085,31;1.077,23;1.079,65;;
2018-01-26;1.085,96;1.086,76;1.082,74;1.084,35;;
2018-01-25;1.094,95;1.095,75;1.088,5;1.092,53;;
2018-01-24;1.083,63;1.097,39;1.083,63;1.097,39;;
2018-01-23;1.087,84;1.088,66;1.083,76;1.087,84;;
2018-01-22;1.082,2;1.087,1;1.082,2;1.083,83;;
2018-01-19;1.083,23;1.087,31;1.083,23;1.083,64;;
2018-01-18;1.081,73;1.084,19;1.080,1;1.081,73;;
2018-01-17;1.088,67;1.093,58;1.087,03;1.093,58;;
2018-01-16;1.091,99;1.091,99;1.085,45;1.088,72;;
2018-01-15;1.088,62;1.090,25;1.086,99;1.087,81;;
2018-01-12;1.089,64;1.097,06;1.088,82;1.097,06;;
2018-01-11;1.093,04;1.096,36;1.091,37;1.095,53;;
2018-01-10;1.087,81;1.101,15;1.087,81;1.095,31;;
2018-01-09;1.100,82;1.100,82;1.094,54;1.095,79;;
2018-01-08;1.097,05;1.098,72;1.094,55;1.098,72;;
2018-01-05;1.090,49;1.093,82;1.088;1.091,74;;
2018-01-04;1.082,06;1.089,52;1.082,06;1.089,52;;
2018-01-03;1.088,33;1.091,66;1.087,5;1.091,66;;
2018-01-02;1.081,23;1.085,37;1.080,4;1.085,37;;
2017-12-29;1.076,04;1.084,38;1.076,04;1.081,88;;
2017-12-28;1.078,01;1.080,53;1.077,17;1.080,53;;
2017-12-27;1.073,98;1.078,18;1.073,98;1.078,18;;
2017-12-22;1.065,13;1.071,46;1.065,13;1.071,46;;
2017-12-21;1.062,91;1.064,59;1.062,06;1.064,59;;
2017-12-20;1.062,47;1.065,85;1.061,63;1.065,85;;
2017-12-19;1.064,45;1.065,3;1.061,07;1.061,91;;
2017-12-18;1.061,04;1.066,98;1.061,04;1.066,98;;
2017-12-15;1.058,36;1.064,29;1.058,36;1.058,36;;
2017-12-14;1.056,56;1.057,41;1.052,34;1.055,72;;
2017-12-13;1.055,3;1.059,56;1.053,6;1.059,56;;
2017-12-12;1.054,31;1.054,31;1.047,51;1.050,91;;
2017-12-11;1.055,02;1.055,87;1.051,63;1.051,63;;
2017-12-08;1.059,87;1.060,72;1.056,46;1.059,45;;
2017-12-07;1.062,7;1.063,55;1.059,31;1.059,31;;
2017-12-06;1.068,38;1.069,22;1.065,84;1.065,84;;
2017-12-05;1.072,42;1.073,27;1.061,45;1.061,45;;
2017-12-04;1.069,95;1.071,64;1.068,27;1.069,95;;
2017-12-01;1.069,84;1.078,25;1.065,63;1.073,62;;
2017-11-30;1.078,99;1.078,99;1.069,71;1.070,55;;
2017-11-29;1.091,15;1.091,99;1.081;1.081;;
2017-11-28;1.084,71;1.086,39;1.082,18;1.084,71;;
2017-11-27;1.075,55;1.082,25;1.075,55;1.080,57;;
2017-11-24;1.083,19;1.083,19;1.079,82;1.081,08;;
2017-11-23;1.084,15;1.086,68;1.082,46;1.085,84;;
2017-11-22;1.087,33;1.094,99;1.087,33;1.094,99;;
2017-11-21;1.087,64;1.091,06;1.085,94;1.088,5;;
2017-11-20;1.092,01;1.092,86;1.078,43;1.079,28;;
2017-11-17;1.083,09;1.093,26;1.082,24;1.093,26;;
2017-11-16;1.081,05;1.083,6;1.080,2;1.082,75;;
2017-11-15;1.078,97;1.084,04;1.074,75;1.074,75;;
2017-11-14;1.082,59;1.087,7;1.078,33;1.087,7;;
2017-11-13;1.090,85;1.093,43;1.090,85;1.092,57;;
2017-11-10;1.098,76;1.098,76;1.089,76;1.089,76;;
2017-11-09;1.098,45;1.102,75;1.098,45;1.101,89;;
2017-11-08;1.097,93;1.105,70;1.097,93;1.102,24;;
2017-11-07;1.101,45;1.102,32;1.097,99;1.097,99;;
2017-11-06;1.091,03;1.101,38;1.090,16;1.100,52;;
2017-11-03;1.090,76;1.092,48;1.083,04;1.084,76;;
2017-11-02;1.093,6;1.097,9;1.090,17;1.091,03;;
2017-11-01;1.092,4;1.098,43;1.092,4;1.094,99;;
2017-10-30;1.089,82;1.095,85;1.088,96;1.094,13;;
2017-10-27;1.087,89;1.090,91;1.086,17;1.090,91;;
2017-10-26;1.086,11;1.086,11;1.075,9;1.075,9;;
2017-10-25;1.077,22;1.080,61;1.074,67;1.079,76;;
2017-10-24;1.085,37;1.085,37;1.079,42;1.081,97;;
2017-10-23;1.083,05;1.086,46;1.079,64;1.086,46;;
2017-10-20;1.082,67;1.083,52;1.077,59;1.078,44;;
2017-10-19;1.075,29;1.085,43;1.075,29;1.084,59;;
2017-10-18;1.089,03;1.089,03;1.083,07;1.085,62;;
2017-10-17;1.094,06;1.094,06;1.086,4;1.088,95;;
2017-10-16;1.099,3;1.101,84;1.096,33;1.096,33;;
2017-10-13;1.092,72;1.098,22;1.090,18;1.098,22;;
2017-10-12;1.088,48;1.090,59;1.085,11;1.087,64;;
2017-10-11;1.085,8;1.086,64;1.082,42;1.082,42;;
2017-10-10;1.086,29;1.092,23;1.086,29;1.089,68;;
2017-10-09;1.088,46;1.088,46;1.085,48;1.086,75;;
2017-10-06;1.078,42;1.084,39;1.073,29;1.083,97;;
2017-10-05;1.081,16;1.084,57;1.079,46;1.079,46;;
2017-10-04;1.078,73;1.082,97;1.075,34;1.077,03;;
2017-10-02;1.080,98;1.082,68;1.078,42;1.080,13;;
2017-09-29;1.084,19;1.088,01;1.082,92;1.083,35;;
2017-09-28;1.081,25;1.088,90;1.081,25;1.088,05;;
2017-09-27;1.098,29;1.098,29;1.088,92;1.090,62;;
2017-09-26;1.108,43;1.108,43;1.096,55;1.098,24;;
2017-09-25;1.085,78;1.099,27;1.084,1;1.098;;
2017-09-22;1.080,6;1.080,6;1.078,09;1.078,51;;
2017-09-21;1.085,68;1.085,68;1.078,96;1.083,16;;
2017-09-20;1.089,78;1.090,61;1.088,12;1.088,95;;
2017-09-19;1.087,96;1.090,46;1.087,96;1.087,96;;
2017-09-18;1.098,51;1.098,51;1.089,3;1.089,3;;
2017-09-15;1.108;1.108;1.099,64;1.101,31;;
2017-09-14;1.106,86;1.114,43;1.106,02;1.114,43;;
2017-09-13;1.106,52;1.109,02;1.099,01;1.100,68;;
2017-09-12;1.106,6;1.109,11;1.104,92;1.109,11;;
2017-09-11;1.110,69;1.111,53;1.104,86;1.104,86;;
2017-09-08;1.119,82;1.119,82;1.109,87;1.112,77;;
2017-09-07;1.112,27;1.120,63;1.110,6;1.120,63;;
2017-09-06;1.116,84;1.120,19;1.115,16;1.115,16;;
2017-09-05;1.119,85;1.122,37;1.113,96;1.121,53;;
2017-09-04;1.117,6;1.120,12;1.115,92;1.115,92;;
2017-09-01;1.102,77;1.107,38;1.101,93;1.107,38;;
2017-08-31;1.098,1;1.110,78;1.097,25;1.109,94;;
2017-08-30;1.094,75;1.096,85;1.093,07;1.093,91;;
2017-08-29;1.089,39;1.095,2;1.086,07;1.086,07;;
2017-08-28;1.082,18;1.093,92;1.082,18;1.093,92;;
2017-08-25;1.086,13;1.091,21;1.081,47;1.090,79;;
2017-08-24;1.088,01;1.088,01;1.084,62;1.085,46;;
2017-08-23;1.085,26;1.089,5;1.085,26;1.088,65;;
2017-08-22;1.090,39;1.091,24;1.086,14;1.087,84;;
2017-08-21;1.088,77;1.094,72;1.088,77;1.094,72;;
2017-08-18;1.092,42;1.103,49;1.090,72;1.093,7;;
2017-08-17;1.096,44;1.098,15;1.093,02;1.093,87;;
2017-08-16;1.083,26;1.086,68;1.078,99;1.085,82;;
2017-08-15;1.080,13;1.081,83;1.075,87;1.080,98;;
2017-08-14;1.085,45;1.087,14;1.081,21;1.082,06;;
2017-08-11;1.088,4;1.091,37;1.085,85;1.091,37;;
2017-08-10;1.086,35;1.092,31;1.085,49;1.091,46;;
2017-08-09;1.073,65;1.083,03;1.073,65;1.081,32;;
2017-08-08;1.061,88;1.066,95;1.056,8;1.061,03;;
2017-08-07;1.061,71;1.062,56;1.060,86;1.062,56;;
2017-08-04;1.065,47;1.065,47;1.053,67;1.055,78;;
2017-08-03;1.061,13;1.065,35;1.058,6;1.065,35;;
2017-08-02;1.065,6;1.071,52;1.063,91;1.069,83;;
2017-08-01;1.070,52;1.073,91;1.067,14;1.073,91;;
2017-07-31;1.077,43;1.078,28;1.075,72;1.076,15;;
2017-07-28;1.069,57;1.078,1;1.068,72;1.077,67;;
2017-07-27;1.076,19;1.077,05;1.069,35;1.073,63;;
2017-07-26;1.065,36;1.069,65;1.064,5;1.069,65;;
2017-07-25;1.070,21;1.070,21;1.065,08;1.066,79;;
2017-07-24;1.072,72;1.076,15;1.071;1.072,72;;
2017-07-21;1.065,54;1.072,84;1.065,54;1.072,84;;
2017-07-20;1.074,01;1.080,97;1.071,4;1.080,97;;
2017-07-19;1.070,41;1.073,88;1.068,67;1.073,01;;
2017-07-18;1.067,5;1.071,83;1.064,91;1.070,96;;
2017-07-17;1.070,06;1.073,55;1.068,31;1.072,68;;
2017-07-14;1.062,2;1.073,59;1.062,2;1.072,27;;
2017-07-13;1.067,27;1.068,14;1.062,01;1.062,89;;
2017-07-12;1.061,67;1.065,16;1.058,17;1.061,67;;
2017-07-11;1.057,87;1.062,25;1.055,24;1.060,5;;
2017-07-10;1.059,54;1.062,18;1.054,27;1.061,3;;
2017-07-07;1.065,11;1.067,74;1.055,47;1.057,66;;
2017-07-06;1.072,03;1.072,9;1.070,27;1.070,27;;
2017-07-05;1.077,32;1.077,32;1.071,15;1.075,12;;
2017-07-04;1.074,17;1.075,05;1.073,29;1.073,29;;
2017-07-03;1.084,09;1.084,09;1.068,26;1.068,26;;
2017-06-30;1.086,14;1.086,14;1.083,51;1.084,82;;
2017-06-29;1.093,05;1.093,05;1.082,54;1.086,92;;
2017-06-28;1.095,82;1.097,58;1.094,07;1.094,95;;
2017-06-27;1.099,93;1.106,14;1.099,93;1.101,7;;
2017-06-26;1.116,92;1.116,92;1.102,62;1.108,43;;
2017-06-23;1.116,53;1.121,9;1.116,53;1.119,66;;
2017-06-22;1.110,66;1.117,83;1.110,66;1.115,14;;
2017-06-21;1.112,86;1.113,75;1.110,16;1.111,96;;
2017-06-20;1.111,96;1.113,75;1.109,27;1.109,27;;
2017-06-19;1.113,94;1.113,94;1.107,24;1.107,24;;
2017-06-16;1.118,92;1.120,71;1.118,03;1.119,82;;
2017-06-15;1.126,19;1.126,19;1.117,23;1.117,23;;
2017-06-14;1.128,72;1.135,86;1.125,15;1.134,07;;
2017-06-13;1.124,63;1.125,52;1.120,18;1.125,52;;
